PLAYER,TEAM,AGE,TOTAL_FGA,D_FGM00,D_FGA00,D_FGP00,D_FGM05,D_FGA05,D_FGP05,D_FGM10,D_FGA10,D_FGP10,D_FGM15,D_FGA15,D_FGP15,D_FGM20,D_FGA20,D_FGP20,D_FGM25,D_FGA25,D_FGP25,Z_FGM01,Z_FGA01,Z_FGP01,Z_FGM02,Z_FGA02,Z_FGP02,Z_FGM03,Z_FGA03,Z_FGP03,Z_FGM04,Z_FGA04,Z_FGP04,Z_FGM05,Z_FGA05,Z_FGP05,Z_FGM06,Z_FGA06,Z_FGP06,Z_FGM07,Z_FGA07,Z_FGP07
Denzel Valentine,CHI,27,320,19,34,55.9,14,32,43.8,15,45,33.3,7,16,43.8,20,67,29.9,46,126,36.5,15,25,60,29,77,37.7,16,33,48.5,7,19,36.8,4,15,26.7,11,34,32.4,51,152,33.6
Derrick Jones Jr.,POR,24,261,86,137,62.8,2,6,33.3,1,1,100,0,0,0,30,83,36.1,9,34,26.5,86,135,63.7,3,9,33.3,0,1,0,11,26,42.3,12,42,28.6,23,68,33.8,16,50,32
Derrick Rose,NYK,32,350,55,118,46.6,19,49,38.8,18,45,40,24,51,47.1,8,25,32,24,62,38.7,50,107,46.7,35,87,40.2,34,77,44.2,2,7,28.6,1,5,20,3,12,25,26,68,38.2
Derrick White,SAS,26,290,38,68,55.9,13,32,40.6,6,23,26.1,3,8,37.5,16,42,38.1,36,117,30.8,35,60,58.3,18,50,36,8,23,34.8,7,15,46.7,7,13,53.8,14,28,50,38,130,29.2
Desmond Bane,MEM,22,317,40,71,56.3,17,32,53.1,10,26,38.5,10,18,55.6,41,90,45.6,34,80,42.5,38,66,57.6,25,55,45.5,15,33,45.5,19,35,54.3,10,20,50,29,55,52.7,45,109,41.3
Devin Booker,PHX,24,846,135,212,63.7,47,88,53.4,77,153,50.3,58,106,54.7,44,93,47.3,63,194,32.5,124,190,65.3,98,184,53.3,108,220,49.1,10,16,62.5,6,9,66.7,16,25,64,81,238,34
Devonte' Graham,CHA,26,445,16,41,39,5,19,26.3,7,26,26.9,22,47,46.8,30,70,42.9,88,242,36.4,15,39,38.5,9,38,23.7,29,65,44.6,8,17,47.1,8,16,50,16,33,48.5,99,275,36
Dillon Brooks,MEM,25,659,77,140,55,22,73,30.1,56,129,43.4,26,65,40,36,87,41.4,48,165,29.1,67,122,54.9,64,174,36.8,55,122,45.1,15,30,50,4,10,40,19,40,47.5,61,202,30.2
Domantas Sabonis,IND,24,671,253,373,67.8,42,108,38.9,11,36,30.6,11,35,31.4,6,20,30,30,99,30.3,240,340,70.6,61,150,40.7,16,63,25.4,4,4,100,1,4,25,5,8,62.5,31,110,28.2
Donovan Mitchell,UTA,24,922,125,236,53,43,114,37.7,36,75,48,29,71,40.8,50,139,36,118,287,41.1,110,196,56.1,77,194,39.7,62,145,42.8,12,29,41.4,6,19,31.6,18,48,37.5,141,351,40.2
Donte DiVincenzo,MIL,24,442,74,147,50.3,7,17,41.2,6,21,28.6,6,18,33.3,25,56,44.6,68,183,37.2,71,136,52.2,11,40,27.5,12,28,42.9,11,25,44,9,21,42.9,20,46,43.5,74,198,37.4
Dorian Finney-Smith,DAL,27,281,53,79,67.1,3,13,23.1,0,2,0,1,5,20,34,95,35.8,33,87,37.9,52,72,72.2,4,19,21.1,1,8,12.5,12,37,32.4,14,40,35,26,77,33.8,41,106,38.7
Doug McDermott,IND,29,451,144,219,65.8,11,20,55,1,4,25,1,2,50,28,71,39.4,53,135,39.3,142,211,67.3,14,32,43.8,2,7,28.6,18,41,43.9,2,6,33.3,20,47,42.6,60,160,37.5
Draymond Green,GSW,31,239,69,119,58,7,20,35,1,8,12.5,2,12,16.7,5,20,25,17,60,28.3,62,108,57.4,15,36,41.7,2,17,11.8,2,6,33.3,2,4,50,4,10,40,19,72,26.4
Duncan Robinson,MIA,26,492,37,46,80.4,4,9,44.4,3,8,37.5,1,6,16.7,54,133,40.6,115,290,39.7,36,43,83.7,8,16,50,1,12,8.3,12,39,30.8,17,49,34.7,29,88,33,144,341,42.2
Dwayne Bacon,ORL,25,484,89,169,52.7,20,54,37,16,43,37.2,18,57,31.6,17,63,27,32,98,32.7,82,150,54.7,39,102,38.2,23,80,28.8,5,27,18.5,3,5,60,8,32,25,40,120,33.3
Dwight Howard,PHI,35,221,105,170,61.8,13,21,61.9,2,7,28.6,4,7,57.1,2,6,33.3,3,10,30,99,158,62.7,20,36,55.6,6,13,46.2,0,1,0,0,1,0,0,2,0,4,12,33.3
Elfrid Payton,NYK,27,475,124,227,54.6,40,99,40.4,12,42,28.6,11,23,47.8,12,47,25.5,8,37,21.6,115,207,55.6,55,137,40.1,18,54,33.3,3,6,50,7,28,25,10,34,29.4,9,43,20.9
Enes Kanter,POR,28,412,231,357,64.7,14,41,34.1,2,6,33.3,1,7,14.3,0,0,0,0,1,0,213,322,66.1,34,79,43,1,10,10,0,0,0,0,0,0,0,0,-,0,1,0
Eric Bledsoe,NOP,31,479,62,107,57.9,12,44,27.3,16,44,36.4,15,35,42.9,42,98,42.9,52,151,34.4,59,92,64.1,25,84,29.8,28,66,42.4,11,27,40.7,7,20,35,18,47,38.3,69,193,35.8
Eric Gordon,HOU,32,356,76,115,66.1,12,32,37.5,2,7,28.6,0,1,0,10,28,35.7,54,173,31.2,73,106,68.9,17,45,37.8,0,6,0,3,6,50,2,6,33.3,5,12,41.7,64,198,32.3
Eric Paschall,GSW,24,292,70,116,60.3,16,40,40,8,22,36.4,27,53,50.9,12,26,46.2,10,35,28.6,68,106,64.2,22,59,37.3,37,75,49.3,2,4,50,3,9,33.3,5,13,38.5,12,40,30
Evan Fournier,BOS,28,404,50,86,58.1,18,34,52.9,15,28,53.6,10,27,37,35,90,38.9,58,139,41.7,45,75,60,32,63,50.8,25,58,43.1,11,22,50,5,9,55.6,16,31,51.6,68,179,38
