PLAYER,TEAM,AGE,TOTAL FG,FGM01,FGA01,FGP01,FGM02,FGA02,FGP02,FGM03,FGA03,FGP03,FGM04,FGA04,FGP04,FGM05,FGA05,FGP05,FGM06,FGA06,FGP06,FGM07,FGA07,FGP07,,
Brandon Ingram,NOP,23,822,100,142,70.4,64,150,42.7,116,246,47.2,9,28,32.1,5,22,22.7,14,50,28,97,234,41.5,,
Brook Lopez,MIL,33,428,88,117,75.2,36,73,49.3,10,27,37,7,22,31.8,18,43,41.9,25,65,38.5,47,146,32.2,,
Bruce Brown,BKN,24,297,115,166,69.3,34,77,44.2,4,14,28.6,7,18,38.9,2,17,11.8,9,35,25.7,1,5,20,,
Bryn Forbes,MIL,27,353,11,24,45.8,13,33,39.4,33,68,48.5,18,33,54.5,13,27,48.1,31,60,51.7,72,168,42.9,,
Buddy Hield,SAC,28,726,41,70,58.6,16,55,29.1,28,70,40,24,51,47.1,15,31,48.4,39,82,47.6,164,449,36.5,,
Cam Reddish,ATL,21,262,46,74,62.2,11,42,26.2,6,21,28.6,8,14,57.1,4,21,19,12,35,34.3,21,90,23.3,,
Cameron Johnson,PHX,25,338,38,56,67.9,11,20,55,11,29,37.9,18,47,38.3,28,53,52.8,46,100,46,43,133,32.3,,
Cameron Payne,PHX,26,205,27,53,50.9,16,37,43.2,18,25,72,4,10,40,2,5,40,6,15,40,30,75,40,,
Caris LeVert,IND,26,377,60,100,60,37,97,38.1,17,49,34.7,6,13,46.2,0,4,0,6,17,35.3,37,114,32.5,,
Carmelo Anthony,POR,36,564,28,51,54.9,18,58,31,104,235,44.3,9,26,34.6,10,28,35.7,19,54,35.2,65,166,39.2,,
Cedi Osman,CLE,25,449,58,115,50.4,16,62,25.8,6,16,37.5,8,23,34.8,7,29,24.1,15,52,28.8,63,204,30.9,,
Chris Boucher,TOR,28,445,136,204,66.7,16,42,38.1,5,13,38.5,1,7,14.3,8,19,42.1,9,26,34.6,65,160,40.6,,
Chris Paul,PHX,35,587,28,45,62.2,67,121,55.4,132,252,52.4,5,14,35.7,2,5,40,7,19,36.8,57,150,38,,
Christian Wood,HOU,25,414,128,160,80,31,78,39.7,14,53,26.4,4,10,40,4,11,36.4,8,21,38.1,37,102,36.3,,
Chuma Okeke,ORL,22,203,25,38,65.8,8,27,29.6,19,46,41.3,4,13,30.8,2,5,40,6,18,33.3,30,74,40.5,,
CJ McCollum,POR,29,459,33,61,54.1,34,74,45.9,39,83,47,7,14,50,7,23,30.4,14,37,37.8,85,204,41.7,,
Clint Capela,ATL,26,488,249,382,65.2,38,103,36.9,1,3,33.3,0,0,0,0,0,0,0,0,-,0,0,0,,
Coby White,CHI,21,599,75,150,50,25,68,36.8,46,97,47.4,12,31,38.7,11,23,47.8,23,54,42.6,76,230,33,,
Cody Zeller,CHA,28,209,94,146,64.4,12,37,32.4,2,4,50,0,0,0,0,3,0,0,3,0,3,19,15.8,,
Cole Anthony,ORL,20,269,34,63,54,20,78,25.6,20,45,44.4,1,5,20,3,7,42.9,4,12,33.3,23,71,32.4,,
Collin Sexton,CLE,22,790,135,217,62.2,130,261,49.8,44,120,36.7,6,17,35.3,1,2,50,7,19,36.8,62,173,35.8,,
Cory Joseph,DET,29,301,48,71,67.6,38,79,48.1,17,48,35.4,7,16,43.8,8,21,38.1,15,37,40.5,19,66,28.8,,
D.J. Augustin,HOU,33,262,23,50,46,8,21,38.1,10,26,38.5,7,22,31.8,5,14,35.7,12,36,33.3,50,129,38.8,,
Damian Lillard,POR,30,958,155,254,61,24,70,34.3,54,121,44.6,3,9,33.3,1,12,8.3,4,21,19,192,492,39,,
