PLAYER,TEAM,AGE,TOTAL FGA,FGM04,FGA04,FGP04,FGM59,FGA59,FGP59,FGM10,FGA10,FGP10,FGM15,FGA15,FGP15,FGM20,FGA20,FGP20,FGM25,FGA25,FGP25
George Hill,PHI,34,120,24,35,68.6,7,11,63.6,4,10,40,3,5,60,10,26,38.5,13,33,39.4
Kenyon Martin Jr.,HOU,20,119,53,82,64.6,1,8,12.5,1,2,50,0,1,0,6,17,35.3,3,9,33.3
Langston Galloway,PHX,29,119,5,11,45.5,5,8,62.5,7,14,50,8,13,61.5,20,52,38.5,12,21,57.1
Moses Brown,OKC,21,117,62,98,63.3,5,18,27.8,0,1,0,0,0,0,0,0,0,0,0,0
Abdel Nader,PHX,27,116,31,55,56.4,7,12,58.3,1,4,25,0,2,0,8,18,44.4,10,25,40
Mason Jones,PHI,22,115,16,29,55.2,4,9,44.4,3,6,50,3,6,50,6,12,50,18,53,34
Juan Toscano-Anderson,GSW,27,114,40,62,64.5,3,5,60,0,0,0,0,0,0,9,23,39.1,12,24,50
Nassir Little,POR,21,114,21,31,67.7,4,9,44.4,1,3,33.3,3,9,33.3,7,21,33.3,17,41,41.5
Stanley Johnson,TOR,24,112,18,39,46.2,0,2,0,1,2,50,0,1,0,14,36,38.9,12,32,37.5
Gorgui Dieng,SAS,31,111,19,29,65.5,4,7,57.1,7,14,50,3,10,30,10,21,47.6,14,30,46.7
Rajon Rondo,LAC,35,111,24,50,48,1,9,11.1,1,4,25,2,2,100,5,16,31.3,11,30,36.7
Chasson Randle,ORL,28,108,14,26,53.8,2,8,25,1,3,33.3,1,6,16.7,9,26,34.6,15,39,38.5
Isaiah Hartenstein,CLE,22,108,44,79,55.7,10,19,52.6,1,2,50,0,2,0,0,1,0,2,5,40
Avery Bradley,HOU,30,107,18,24,75,1,6,16.7,1,4,25,2,8,25,13,38,34.2,11,27,40.7
Frank Jackson,DET,22,107,13,21,61.9,4,15,26.7,3,11,27.3,1,1,100,18,35,51.4,8,24,33.3
Troy Brown Jr.,CHI,21,106,15,21,71.4,2,7,28.6,4,7,57.1,1,12,8.3,9,24,37.5,11,35,31.4
Dwight Powell,DAL,29,105,46,78,59,0,7,0,0,2,0,0,0,0,1,5,20,4,13,30.8
Kevon Looney,GSW,25,105,46,73,63,7,13,53.8,3,6,50,1,3,33.3,1,2,50,3,8,37.5
R.J. Hampton,ORL,20,105,24,40,60,3,12,25,7,15,46.7,4,9,44.4,4,9,44.4,4,20,20
Markelle Fultz,ORL,22,104,20,33,60.6,9,22,40.9,4,10,40,4,17,23.5,1,12,8.3,3,10,30
Nicolas Claxton,BKN,21,104,55,78,70.5,5,18,27.8,0,1,0,0,2,0,1,5,20,0,0,0
Drew Eubanks,SAS,24,103,39,64,60.9,9,26,34.6,2,6,33.3,2,5,40,1,2,50,0,0,0
Goga Bitadze,IND,21,103,37,51,72.5,4,14,28.6,1,2,50,2,3,66.7,0,3,0,8,30,26.7
Tony Bradley,OKC,23,103,57,76,75,8,16,50,3,5,60,1,2,50,0,2,0,0,2,0
E'Twaun Moore,PHX,32,102,11,26,42.3,12,27,44.4,8,12,66.7,1,3,33.3,8,19,42.1,3,15,20
Boban Marjanovic,DAL,32,101,38,64,59.4,5,14,35.7,3,9,33.3,3,8,37.5,0,0,0,0,6,0
Jevon Carter,PHX,25,101,4,5,80,2,7,28.6,2,4,50,8,14,57.1,5,26,19.2,16,45,35.6
Daniel Gafford,WAS,22,100,62,80,77.5,5,12,41.7,2,4,50,1,4,25,0,0,0,0,0,0
